ID,Date,Location,Police District,Police Station,Police,News,Journalists' Notes,Task Force Detainees of the Philippines,RiseUp for Life and Rights,Balay Rehabilitation Center,CCT-DRK Research,Redemptorist Social Mission,Funeral Parlor,Bishop of Caloocan,Philippine Human Rights Information Center,Commission on Human Rights,Assailant
164,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,1,,,,1.0,,,Police
165,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0,1.0,,,0.0,,,Police
166,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,,,0.0,,,Police
169,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,,,0.0,,,Police
170,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,,,0.0,,,Police
174,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,1.0,1.0,0.0,,,Police
177,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,0.0,0.0,0.0,,,Police
181,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,1.0,1.0,0.0,,,Police
187,Jul-2016,Caloocan,NPD,PS-1,0,1,,,,0,1.0,0.0,0.0,1.0,,,Police
194,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,,Police
199,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,,Police
203,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,,Police
215,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,,Police
218,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,0.0,Police
222,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,1.0,1.0,0.0,,0.0,Police
228,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,0.0,Police
246,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,1.0,1.0,0.0,,0.0,Police
250,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,1,0.0,0.0,0.0,0.0,,0.0,Police
260,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,0.0,Police
263,Aug-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,0.0,0.0,0.0,,0.0,Police
