ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
413,Sep-2016,Manila,MPD,PS-5 ,0,1,0.0,,0.0,,,1.0,0.0,Unidentified
414,Sep-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
415,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
416,Sep-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
417,Sep-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
418,Sep-2016,Manila,MPD,PS-7 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
419,Sep-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
420,Sep-2016,Manila,MPD,PS-6 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
421,Sep-2016,Manila,MPD,PS-6 ,0,1,0.0,,0.0,,,1.0,0.0,Unidentified
422,Sep-2016,Manila,MPD,PS-6 ,0,1,0.0,,0.0,,,1.0,1.0,Unidentified
423,Oct-2016,Manila,MPD,PS-4 ,1,1,0.0,0.0,0.0,,,0.0,0.0,Unidentified
424,Oct-2016,Manila,MPD,PS-4 ,1,1,0.0,0.0,0.0,,,0.0,0.0,Unidentified
425,Oct-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
426,Oct-2016,Manila,MPD,PS-6 ,1,1,0.0,0.0,0.0,,,0.0,0.0,Unidentified
427,Oct-2016,Manila,MPD,PS-6 ,1,1,0.0,0.0,0.0,,,1.0,1.0,Unidentified
428,Oct-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
429,Nov-2016,Manila,MPD,PS-6 ,1,1,0.0,0.0,0.0,,,1.0,1.0,Unidentified
430,Nov-2016,Manila,MPD,PS-1,0,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
431,Nov-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,0.0,0.0,Unidentified
432,Nov-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
433,Dec-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
434,Dec-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
435,Dec-2016,Manila,MPD,PS-1 ,0,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
436,Dec-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
437,Dec-2016,Manila,MPD,PS-1,1,1,0.0,0.0,0.0,,,1.0,0.0,Unidentified
438,Jan-2017,Manila,MPD,PS-5 ,1,1,0.0,0.0,0.0,,,0.0,0.0,Unidentified
439,Jan-2017,Manila,MPD,PS-6 ,0,1,0.0,,0.0,,,1.0,1.0,Unidentified
440,Jan-2017,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
441,Jan-2017,Manila,MPD,PS-1 ,0,1,0.0,,0.0,,0.0,1.0,0.0,Unidentified
442,Feb-2017,Manila,MPD,PS-1 ,0,1,0.0,,0.0,,0.0,1.0,0.0,Unidentified
443,Feb-2017,Manila,MPD,PS-11 ,0,1,0.0,,0.0,,0.0,0.0,0.0,Unidentified
444,Mar-2017,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,0.0,1.0,0.0,Unidentified
