ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
110,Jul-2016,Manila,MPD,PS-1 ,1,0,0.0,,,,,0,0.0,Police
111,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,,,,1,0.0,Police
112,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,,,,1,,Police
113,Jul-2016,Manila,MPD,PS-3 ,1,0,0.0,,,,,0,,Police
114,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,,,,1,,Police
115,Jul-2016,Manila,MPD,PS-6 ,1,1,1.0,,,,,1,1.0,Police
116,Jul-2016,Manila,MPD,PS-1 ,1,1,,,,,,1,,Police
117,Jul-2016,Manila,MPD,PS-3 ,1,1,,,,,,0,,Police
118,Jul-2016,Manila,MPD,PS-3 ,1,1,,,,,,1,,Police
119,Jul-2016,Manila,MPD,PS-3 ,1,1,,,,,,0,,Police
120,Jul-2016,Manila,MPD,PS-3 ,1,1,,,,,,0,,Police
121,Jul-2016,Manila,MPD,PS-3 ,1,1,,,,,,1,,Police
122,Jul-2016,Manila,MPD,PS-11 ,1,1,1.0,,,,,1,,Police
123,Mar-2017,Manila,MPD,PS-2 ,1,1,0.0,,0.0,,0.0,1,0.0,Police
124,Mar-2017,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,0.0,1,0.0,Police
125,Mar-2017,Manila,MPD,PS-1 ,1,0,0.0,,0.0,,0.0,0,0.0,Police
126,Mar-2017,Manila,MPD,PS-1 ,1,0,0.0,,0.0,,0.0,0,0.0,Police
127,Mar-2017,Manila,MPD,PS-7 ,1,1,0.0,,0.0,,0.0,1,0.0,Police
128,Mar-2017,Manila,MPD,PS-7 ,1,0,0.0,,0.0,,0.0,0,0.0,Police
129,Mar-2017,Manila,MPD,PS-9 ,1,0,0.0,,0.0,,0.0,0,0.0,Police
130,Mar-2017,Manila,MPD,PS-5 ,1,0,0.0,,0.0,,0.0,0,0.0,Police
131,Mar-2017,Manila,MPD,PS-1 ,1,0,0.0,,0.0,,0.0,0,0.0,Police
132,Mar-2017,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,0.0,1,0.0,Police
133,Nov-2016,Manila,MPD,PS-6 ,1,1,0.0,0.0,0.0,,,1,1.0,Police
134,Nov-2016,Manila,MPD,PS-3 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
135,Nov-2016,Manila,MPD,PS-3 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
136,Nov-2016,Manila,MPD,PS-2 ,1,1,0.0,0.0,0.0,,,0,0.0,Police
137,Nov-2016,Manila,MPD,PS-2 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
138,Nov-2016,Manila,MPD,PS-3 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
139,Nov-2016,Manila,MPD,PS-7 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
140,Nov-2016,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
141,Nov-2016,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
142,Nov-2016,Manila,MPD,PS-1 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
143,Nov-2016,Manila,MPD,PS-1 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
144,Nov-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
145,Nov-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
146,Nov-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
